,sku_id,category,brand,color,size,week_start,weekly_sales,avg_price,avg_markdown,avg_rating,week_of_year,month,lag_1_sales,lag_2_sales,rolling_4w_avg
35,Accessories_Banana Republic_Gray_OS,Accessories,Banana Republic,Gray,OS,2025-08-04,2,64.075,0.0,3.3499999999999996,32,8,1.0,1.0,1.0
37,Accessories_Banana Republic_Green_OS,Accessories,Banana Republic,Green,OS,2025-08-04,6,40.0,8.683333333333334,2.8333333333333335,32,8,1.0,,1.0
95,Accessories_H&M_Green_OS,Accessories,H&M,Green,OS,2025-08-04,4,45.269999999999996,8.05,2.5,32,8,1.0,1.0,1.0
46,Accessories_Forever21_Blue_OS,Accessories,Forever21,Blue,OS,2025-08-04,5,37.542,0.0,2.65,32,8,1.0,,1.0
53,Accessories_Forever21_Navy_OS,Accessories,Forever21,Navy,OS,2025-08-04,7,43.128571428571426,6.8,2.54,32,8,1.0,1.0,1.0
55,Accessories_Forever21_Pink_OS,Accessories,Forever21,Pink,OS,2025-08-04,4,38.3125,18.5,2.5,32,8,1.0,,1.0
59,Accessories_Forever21_Red_OS,Accessories,Forever21,Red,OS,2025-08-04,4,58.2125,0.0,3.95,32,8,1.0,1.0,1.0
61,Accessories_Forever21_White_OS,Accessories,Forever21,White,OS,2025-08-04,3,46.01666666666667,0.3666666666666667,2.533333333333333,32,8,1.0,,1.0
65,Accessories_Gap_Black_OS,Accessories,Gap,Black,OS,2025-08-04,5,62.698,7.6,3.0,32,8,1.0,1.0,1.0
70,Accessories_Gap_Green_OS,Accessories,Gap,Green,OS,2025-08-04,1,55.25,6.4,,32,8,1.0,,1.0
73,Accessories_Gap_Navy_OS,Accessories,Gap,Navy,OS,2025-08-04,5,27.536,24.86,3.6500000000000004,32,8,1.0,1.0,1.0
75,Accessories_Gap_Pink_OS,Accessories,Gap,Pink,OS,2025-08-04,3,60.46666666666667,10.433333333333334,4.35,32,8,1.0,,1.0
78,Accessories_Gap_Purple_OS,Accessories,Gap,Purple,OS,2025-08-04,6,33.02333333333333,14.200000000000001,2.8600000000000003,32,8,1.0,1.0,1.0
81,Accessories_Gap_Red_OS,Accessories,Gap,Red,OS,2025-08-04,1,58.61,18.4,1.9000000000000001,32,8,1.0,1.0,1.0
85,Accessories_Gap_White_OS,Accessories,Gap,White,OS,2025-08-04,3,43.300000000000004,9.200000000000001,4.45,32,8,1.0,1.0,1.0
48,Accessories_Forever21_Brown_OS,Accessories,Forever21,Brown,OS,2025-08-04,2,33.685,8.2,3.25,32,8,1.0,,1.0
224,Bottoms_Banana Republic_Brown_XS,Bottoms,Banana Republic,Brown,XS,2025-08-04,1,115.89,0.0,2.9,32,8,1.0,,1.0
176,Bottoms_Ann Taylor_Beige_M,Bottoms,Ann Taylor,Beige,M,2025-08-04,1,60.97,0.0,4.5,32,8,1.0,,1.0
229,Bottoms_Banana Republic_Gray_M,Bottoms,Banana Republic,Gray,M,2025-08-04,1,35.37,0.0,4.7,32,8,1.0,,1.0
438,Bottoms_Uniqlo_Pink_XS,Bottoms,Uniqlo,Pink,XS,2025-08-04,1,56.57,0.0,4.4,32,8,1.0,,1.0
226,Bottoms_Banana Republic_Brown_XXL,Bottoms,Banana Republic,Brown,XXL,2025-08-04,1,64.21,0.0,2.8,32,8,1.0,,1.0
449,Bottoms_Zara_Beige_L,Bottoms,Zara,Beige,L,2025-08-04,1,10.55,59.4,,32,8,1.0,,1.0
459,Bottoms_Zara_Black_XXL,Bottoms,Zara,Black,XXL,2025-08-04,1,71.19,3.9,1.7,32,8,1.0,,1.0
466,Bottoms_Zara_Brown_XL,Bottoms,Zara,Brown,XL,2025-08-04,1,47.08,8.0,,32,8,1.0,,1.0
471,Bottoms_Zara_Gray_M,Bottoms,Zara,Gray,M,2025-08-04,1,91.65,0.0,3.8,32,8,1.0,,1.0
474,Bottoms_Zara_Gray_S,Bottoms,Zara,Gray,S,2025-08-04,1,64.5,40.6,1.3,32,8,1.0,1.0,1.0
481,Bottoms_Zara_Green_XS,Bottoms,Zara,Green,XS,2025-08-04,2,33.485,4.15,1.9,32,8,1.0,,1.0
487,Bottoms_Zara_Pink_S,Bottoms,Zara,Pink,S,2025-08-04,1,62.18,20.7,4.4,32,8,1.0,,1.0
494,Bottoms_Zara_Purple_M,Bottoms,Zara,Purple,M,2025-08-04,1,48.62,0.0,,32,8,1.0,1.0,1.0
500,Bottoms_Zara_Red_XXL,Bottoms,Zara,Red,XXL,2025-08-04,2,66.375,22.65,3.55,32,8,1.0,,1.0
516,Dresses_Ann Taylor_Gray_S,Dresses,Ann Taylor,Gray,S,2025-08-04,1,142.43,0.0,4.1,32,8,1.0,,1.0
421,Bottoms_Uniqlo_Blue_L,Bottoms,Uniqlo,Blue,L,2025-08-04,1,23.29,7.9,1.7,32,8,1.0,,1.0
531,Dresses_Ann Taylor_Pink_XXL,Dresses,Ann Taylor,Pink,XXL,2025-08-04,1,102.47,11.2,3.8,32,8,1.0,,1.0
544,Dresses_Banana Republic_Blue_XL,Dresses,Banana Republic,Blue,XL,2025-08-04,3,68.21,17.3,2.433333333333333,32,8,1.0,1.0,1.0
563,Dresses_Banana Republic_Purple_XL,Dresses,Banana Republic,Purple,XL,2025-08-04,2,87.315,0.0,4.5,32,8,1.0,,1.0
567,Dresses_Banana Republic_Red_M,Dresses,Banana Republic,Red,M,2025-08-04,1,69.54,0.0,3.2,32,8,1.0,,1.0
579,Dresses_Forever21_Blue_S,Dresses,Forever21,Blue,S,2025-08-04,1,47.72,35.0,,32,8,1.0,1.0,1.0
588,Dresses_Forever21_Green_XL,Dresses,Forever21,Green,XL,2025-08-04,1,115.98,0.0,3.7,32,8,1.0,,1.0
591,Dresses_Forever21_Green_XXL,Dresses,Forever21,Green,XXL,2025-08-04,1,98.92,41.7,4.6,32,8,1.0,,1.0
609,Dresses_Gap_Black_XXL,Dresses,Gap,Black,XXL,2025-08-04,1,114.2,0.0,,32,8,1.0,,1.0
617,Dresses_Gap_Gray_XL,Dresses,Gap,Gray,XL,2025-08-04,1,107.49,0.0,3.3,32,8,1.0,,1.0
641,Dresses_H&M_Blue_XL,Dresses,H&M,Blue,XL,2025-08-04,2,110.60999999999999,27.65,2.4000000000000004,32,8,1.0,,1.0
644,Dresses_H&M_Brown_XL,Dresses,H&M,Brown,XL,2025-08-04,1,97.43,10.8,3.3,32,8,1.0,,1.0
652,Dresses_H&M_Navy_S,Dresses,H&M,Navy,S,2025-08-04,1,126.76,0.0,2.2,32,8,1.0,,1.0
665,Dresses_H&M_Red_M,Dresses,H&M,Red,M,2025-08-04,1,67.63,0.0,4.7,32,8,1.0,,1.0
1685,Tops_Zara_Purple_S,Tops,Zara,Purple,S,2025-08-04,1,106.2,0.0,1.1,32,8,1.0,,1.0
415,Bottoms_Mango_White_XS,Bottoms,Mango,White,XS,2025-08-04,1,92.59,0.0,2.3,32,8,1.0,,1.0
1690,Tops_Zara_Red_XL,Tops,Zara,Red,XL,2025-08-04,1,44.28,18.4,2.6,32,8,1.0,,1.0
399,Bottoms_Mango_Pink_XL,Bottoms,Mango,Pink,XL,2025-08-04,1,22.24,20.9,2.3,32,8,1.0,,1.0
290,Bottoms_Forever21_Red_XXL,Bottoms,Forever21,Red,XXL,2025-08-04,1,38.18,0.0,,32,8,1.0,,1.0
296,Bottoms_Gap_Beige_L,Bottoms,Gap,Beige,L,2025-08-04,1,55.21,0.0,1.8,32,8,1.0,,1.0
307,Bottoms_Gap_Gray_XS,Bottoms,Gap,Gray,XS,2025-08-04,2,42.775000000000006,15.85,2.45,32,8,1.0,,1.0
405,Bottoms_Mango_Purple_XL,Bottoms,Mango,Purple,XL,2025-08-04,1,41.07,0.0,4.8,32,8,1.0,,1.0
263,Bottoms_Forever21_Black_XL,Bottoms,Forever21,Black,XL,2025-08-04,1,79.61,0.0,3.7,32,8,1.0,,1.0
315,Bottoms_Gap_Navy_XXL,Bottoms,Gap,Navy,XXL,2025-08-04,1,21.64,54.2,4.9,32,8,1.0,,1.0
322,Bottoms_Gap_Red_S,Bottoms,Gap,Red,S,2025-08-04,1,109.12,0.0,,32,8,1.0,1.0,1.0
329,Bottoms_H&M_Beige_XS,Bottoms,H&M,Beige,XS,2025-08-04,1,80.64,0.0,,32,8,1.0,,1.0
247,Bottoms_Banana Republic_Red_XL,Bottoms,Banana Republic,Red,XL,2025-08-04,1,49.97,0.0,3.5,32,8,1.0,,1.0
273,Bottoms_Forever21_Gray_XS,Bottoms,Forever21,Gray,XS,2025-08-04,1,81.35,11.0,1.6,32,8,1.0,,1.0
332,Bottoms_H&M_Black_XS,Bottoms,H&M,Black,XS,2025-08-04,2,41.825,11.65,,32,8,1.0,,1.0
367,Bottoms_H&M_White_S,Bottoms,H&M,White,S,2025-08-04,1,25.16,0.0,2.8,32,8,1.0,,1.0
245,Bottoms_Banana Republic_Red_L,Bottoms,Banana Republic,Red,L,2025-08-04,1,30.11,36.0,1.1,32,8,1.0,,1.0
384,Bottoms_Mango_Gray_OS,Bottoms,Mango,Gray,OS,2025-08-04,1,23.66,55.9,2.5,32,8,1.0,,1.0
240,Bottoms_Banana Republic_Pink_XS,Bottoms,Banana Republic,Pink,XS,2025-08-04,2,49.835,29.75,3.0,32,8,1.0,,1.0
386,Bottoms_Mango_Gray_XXL,Bottoms,Mango,Gray,XXL,2025-08-04,1,79.34,0.0,4.4,32,8,1.0,,1.0
388,Bottoms_Mango_Green_L,Bottoms,Mango,Green,L,2025-08-04,1,43.44,42.7,2.0,32,8,1.0,,1.0
390,Bottoms_Mango_Green_S,Bottoms,Mango,Green,S,2025-08-04,1,27.54,56.8,4.0,32,8,1.0,,1.0
396,Bottoms_Mango_Pink_L,Bottoms,Mango,Pink,L,2025-08-04,1,96.96,16.1,3.1,32,8,1.0,,1.0
356,Bottoms_H&M_Purple_S,Bottoms,H&M,Purple,S,2025-08-04,1,47.66,0.0,4.8,32,8,1.0,,1.0
275,Bottoms_Forever21_Green_XL,Bottoms,Forever21,Green,XL,2025-08-04,1,73.8,0.0,,32,8,1.0,,1.0
72,Accessories_Gap_Navy_OS,Accessories,Gap,Navy,OS,2024-09-09,1,25.45,40.6,2.6,37,9,1.0,,1.0
93,Accessories_H&M_Green_OS,Accessories,H&M,Green,OS,2024-09-30,1,79.04,0.0,4.7,40,9,1.0,,1.0
153,Accessories_Zara_Brown_OS,Accessories,Zara,Brown,OS,2024-09-30,1,34.36,12.0,3.1,40,9,1.0,,1.0
233,Bottoms_Banana Republic_Green_L,Bottoms,Banana Republic,Green,L,2024-10-07,1,59.88,0.0,2.9,41,10,1.0,,1.0
3,Accessories_Ann Taylor_Black_OS,Accessories,Ann Taylor,Black,OS,2024-10-07,1,77.48,0.0,3.3,41,10,1.0,,1.0
28,Accessories_Banana Republic_Blue_OS,Accessories,Banana Republic,Blue,OS,2024-10-21,2,47.72,0.0,2.8,43,10,1.0,,1.0
473,Bottoms_Zara_Gray_S,Bottoms,Zara,Gray,S,2024-10-28,1,24.49,54.5,2.6,44,10,1.0,,1.0
966,Outerwear_H&M_White_XXL,Outerwear,H&M,White,XXL,2024-10-28,1,77.44,29.3,1.3,44,10,1.0,,1.0
154,Accessories_Zara_Brown_OS,Accessories,Zara,Brown,OS,2024-10-28,1,61.09,1.8,2.3,44,10,1.0,1.0,1.0
141,Accessories_Uniqlo_Purple_OS,Accessories,Uniqlo,Purple,OS,2024-11-11,1,63.42,0.0,2.9,46,11,1.0,,1.0
29,Accessories_Banana Republic_Blue_OS,Accessories,Banana Republic,Blue,OS,2024-12-02,1,28.66,39.8,1.3,49,12,2.0,1.0,1.5
168,Accessories_Zara_Purple_OS,Accessories,Zara,Purple,OS,2024-12-02,1,43.47,36.9,1.8,49,12,1.0,,1.0
18,Accessories_Ann Taylor_Purple_OS,Accessories,Ann Taylor,Purple,OS,2024-12-16,1,28.21,34.3,,51,12,1.0,,1.0
